City,Temperature,Humidity,Wind Speed,Condition,Datetime
Islamabad,31.9,29,5.4,Sunny,2025-05-03 16:45
Lahore,33.2,41,7.2,Sunny,2025-05-03 16:45
Lahore,33.2,41,7.2,Sunny,2025-05-03 16:45
New York,17.8,78,10.1,Mist,2025-05-03 07:46
New York,17.8,78,10.1,Mist,2025-05-03 07:46
New York,17.8,78,10.1,Mist,2025-05-03 07:46
New York,17.8,78,10.1,Mist,2025-05-03 07:46
New York,17.8,78,10.1,Mist,2025-05-03 07:46
New York,17.8,78,10.1,Mist,2025-05-03 07:46
Rawalpindi,32.9,27,3.6,Sunny,2025-05-03 16:47
Rawalpindi,32.9,27,3.6,Sunny,2025-05-03 16:51
Rawalpindi,32.9,27,3.6,Sunny,2025-05-03 16:51
Islamabad,31.9,29,5.4,Sunny,2025-05-03 16:51
